,precision,recall,f1-score,support
0,0.9745007333859866,0.8513553474618039,0.9087752525252525,10145.0
1,0.8846212700841622,0.9808279606379369,0.9302437846970794,11788.0
accuracy,0.9209410477362878,0.9209410477362878,0.9209410477362878,0.9209410477362878
macro avg,0.9295610017350744,0.9160916540498704,0.9195095186111659,21933.0
weighted avg,0.9261945685475282,0.9209410477362878,0.9203136219795677,21933.0
